NC_000117.1	1321	1593		minus	hypothetical protein		884027	protein-coding		NP_219503.1	90	CT_001
NC_000117.1	1794	2096		plus	aspartyl/glutamyl-tRNA amidotransferase subunit C	gatC	884067	protein-coding		NP_219504.1	100	CT_002
NC_000117.1	2108	3583		plus	aspartyl/glutamyl-tRNA amidotransferase subunit A	gatA	884087	protein-coding		NP_219505.1	491	CT_003
NC_000117.1	3585	5051		plus	aspartyl/glutamyl-tRNA amidotransferase subunit B	gatB	884084	protein-coding		NP_219506.1	488	CT_004
NC_000117.1	5150	6241		minus	hypothetical protein		884085	protein-coding		NP_219507.1	363	CT_005
NC_000117.1	6369	6938		minus	hypothetical protein		884029	protein-coding		NP_219508.1	189	CT_006
NC_000117.1	7251	8201		plus	hypothetical protein		884088	protein-coding		NP_219509.1	316	CT_007
NC_000117.1	8217	9119		minus	ribonuclease HII	rnhB_1	884028	protein-coding		NP_219510.1	300	CT_008
NC_000117.1	9373	9804		plus	DNA-binding protein	yfgA	884053	protein-coding		NP_219511.1	143	CT_009
NC_000117.1	9791	11158		minus	acyltransferase	htrB	884050	protein-coding		NP_219512.1	455	CT_010
NC_000117.1	11290	12546		minus	hypothetical protein		884048	protein-coding		NP_219513.1	418	CT_011
NC_000117.1	12543	13337		minus	hypothetical protein	ybbP	884042	protein-coding		NP_219514.1	264	CT_012
NC_000117.1	13612	14952		plus	cytochrome D ubiquinol oxidase subunit I	cydA	884038	protein-coding		NP_219515.1	446	CT_013
NC_000117.1	14964	16025		plus	cytochrome D ubiquinol oxidase subunit II	cydB	884035	protein-coding		NP_219516.1	353	CT_014
NC_000117.1	16123	17427		minus	ATPase	phoH	884095	protein-coding		NP_219517.1	434	CT_015
NC_000117.1	17636	18364		plus	hypothetical protein		884090	protein-coding		NP_219518.1	242	CT_016
NC_000117.1	18550	19851		plus	hypothetical protein		884091	protein-coding		NP_219519.1	433	CT_017
NC_000117.1	19913	20386		minus	hypothetical protein		884096	protein-coding		NP_219520.1	157	CT_018
